{'pitch': 357.4727824092145, 'yaw': 306.26780338448015, 'roll': 180.5949864300218}
{'pitch': 357.3928493456881, 'yaw': 302.48165194262367, 'roll': 177.3482660259689}
{'pitch': 355.6957518157282, 'yaw': 299.54160384458083, 'roll': 177.64317993395173}
{'pitch': 349.39459281344466, 'yaw': 295.94530434089404, 'roll': 176.47225328377976}
{'pitch': 355.8891195937731, 'yaw': 292.64723821712664, 'roll': 178.84930937910593}
{'pitch': 352.8640881476429, 'yaw': 291.06538006573004, 'roll': 177.99303588361812}
{'pitch': 355.31289153821865, 'yaw': 286.1178847291071, 'roll': 176.67755510985202}
{'pitch': 356.06323819118967, 'yaw': 282.42273872775183, 'roll': 175.90235595981224}
{'pitch': 355.6415756090053, 'yaw': 278.13497136306046, 'roll': 176.26307191025896}
{'pitch': 354.4994416212795, 'yaw': 275.2332406262614, 'roll': 177.4980247537106}
{'pitch': 354.480931381742, 'yaw': 272.4706954843689, 'roll': 177.6606788786053}
{'pitch': 354.79819623001, 'yaw': 269.8482170317858, 'roll': 177.68574567285924}
{'pitch': 355.07858787515687, 'yaw': 267.3667956459418, 'roll': 177.71277956159417}
{'pitch': 354.40610452495036, 'yaw': 264.66362533850423, 'roll': 178.60844958821463}
{'pitch': 354.86117356236525, 'yaw': 262.30652022574367, 'roll': 178.83409171763515}
{'pitch': 355.3534329798109, 'yaw': 260.9995430374942, 'roll': 178.53706045100964}
{'pitch': 355.23302912446144, 'yaw': 259.16406630183667, 'roll': 179.3103471480818}
{'pitch': 353.3437095806899, 'yaw': 254.21900934274746, 'roll': 181.98402834114896}
{'pitch': 354.74918620762054, 'yaw': 253.7926142932419, 'roll': 180.6492864339234}
{'pitch': 355.38680400343515, 'yaw': 254.77547168461757, 'roll': 181.19366617115176}
{'pitch': 354.6764528038096, 'yaw': 253.00529155742535, 'roll': 181.44134249083478}
{'pitch': 356.0768767983017, 'yaw': 253.0445992960988, 'roll': 179.7170712527777}
{'pitch': 357.0986363858688, 'yaw': 252.16359368562632, 'roll': 178.45511184134784}
{'pitch': 356.23878002927455, 'yaw': 250.12850467147518, 'roll': 177.37894723572063}
{'pitch': 356.564119441802, 'yaw': 248.95029703964798, 'roll': 177.87561127140728}
{'pitch': 355.64096729528234, 'yaw': 247.4689041407531, 'roll': 180.61661080893407}
{'pitch': 354.8543997222559, 'yaw': 245.5326274733245, 'roll': 182.35895108506932}
{'pitch': 354.97223414581697, 'yaw': 242.10221960419898, 'roll': 177.61008083723385}
{'pitch': 355.03630729664724, 'yaw': 240.50935118786032, 'roll': 177.5008797727837}
{'pitch': 354.78147123116673, 'yaw': 238.4577399461069, 'roll': 178.0099474320031}
{'pitch': 354.94640151660235, 'yaw': 237.20703668642918, 'roll': 178.66490793189394}
{'pitch': 355.0622355485102, 'yaw': 235.9445308598657, 'roll': 178.79826054524926}
{'pitch': 355.183406092594, 'yaw': 234.751720283593, 'roll': 178.92867617726148}
{'pitch': 355.2868386354033, 'yaw': 233.60081974806752, 'roll': 179.06634547017228}
{'pitch': 355.39906163167433, 'yaw': 232.5258162745992, 'roll': 179.18183030865885}
{'pitch': 355.5102105806984, 'yaw': 231.4949358231692, 'roll': 179.2956349206096}
{'pitch': 355.6221825675175, 'yaw': 230.49576110986635, 'roll': 179.39322466347073}
{'pitch': 355.7361071346656, 'yaw': 229.5318301726808, 'roll': 179.49080074595355}
{'pitch': 355.8496624447116, 'yaw': 228.61707659751931, 'roll': 179.56960746859716}
{'pitch': 355.94969952972974, 'yaw': 227.71982196701143, 'roll': 179.65853653159073}
{'pitch': 356.04665193056394, 'yaw': 226.88578756746116, 'roll': 179.7354581220234}
{'pitch': 356.14093970384823, 'yaw': 226.0949472842221, 'roll': 179.80616424031138}
{'pitch': 356.2330072387654, 'yaw': 225.3400884375306, 'roll': 179.87643322649245}
{'pitch': 356.32337704478704, 'yaw': 224.60964068693278, 'roll': 179.93301451357684}
{'pitch': 356.4189792025997, 'yaw': 223.94414803534175, 'roll': 179.98874885720414}
{'pitch': 356.5034899869739, 'yaw': 223.2944877622468, 'roll': 180.04975974933637}
{'pitch': 356.58195306572486, 'yaw': 222.67665617068414, 'roll': 180.09852730001026}
{'pitch': 356.6686113042628, 'yaw': 222.0795200523066, 'roll': 180.14801885073618}
{'pitch': 356.7446780538322, 'yaw': 221.51596114388886, 'roll': 180.19528375979266}
{'pitch': 356.82535923651614, 'yaw': 220.97368510492487, 'roll': 180.24171538577042}
{'pitch': 356.9022693010046, 'yaw': 220.43989216091003, 'roll': 180.2758390108638}
{'pitch': 356.9677755109001, 'yaw': 219.94184842701102, 'roll': 180.3126673908685}
{'pitch': 357.0321566605732, 'yaw': 219.4628609208964, 'roll': 180.3509574313556}
{'pitch': 357.09730044355587, 'yaw': 219.0151283604237, 'roll': 180.38099660332531}
{'pitch': 357.15965003883775, 'yaw': 218.57586523452184, 'roll': 180.4135083037746}
{'pitch': 357.2186436633596, 'yaw': 218.1428858826564, 'roll': 180.44319230590744}
{'pitch': 357.2836002564703, 'yaw': 217.7359295515287, 'roll': 180.46585487357356}
{'pitch': 357.3374550174154, 'yaw': 217.34451873095193, 'roll': 180.4879163845927}
{'pitch': 357.3963788459417, 'yaw': 216.97526504404271, 'roll': 180.50891238610131}
{'pitch': 357.4492871987999, 'yaw': 216.62428894335244, 'roll': 180.52908876490955}
{'pitch': 357.50037573313114, 'yaw': 216.2785857487014, 'roll': 180.5591415972576}
{'pitch': 357.5565501970731, 'yaw': 215.95069568740578, 'roll': 180.57397676813486}
{'pitch': 357.61724816723626, 'yaw': 215.61642622942534, 'roll': 180.58579299539898}
{'pitch': 357.6661851919789, 'yaw': 215.29936884815336, 'roll': 180.60820967625497}
{'pitch': 357.7039377819557, 'yaw': 214.98844497675606, 'roll': 180.62722492290428}
{'pitch': 357.7508624622142, 'yaw': 214.68709703057507, 'roll': 180.6401339804356}
