p: 359.564493291, r: 0.377859751944, y: 153.476563631
p: 359.555721754, r: 0.366439088682, y: 153.488379859
p: 359.545991936, r: 0.360070737694, y: 153.507681973
p: 359.540494488, r: 0.354953858789, y: 153.520331484
p: 359.537439419, r: 0.352558196618, y: 153.541546051
p: 359.536211479, r: 0.324864981184, y: 153.526068843
p: 359.53181193, r: 0.313920990422, y: 153.550411637
p: 359.521300856, r: 0.301090960313, y: 153.549223184
p: 359.511189988, r: 0.293219967708, y: 153.544264467
p: 359.507285041, r: 0.220062385137, y: 153.564932619
p: 359.497227908, r: 0.218528233936, y: 153.563252392
p: 359.490834637, r: 0.135871232272, y: 153.5909693
p: 359.483614754, r: 0.131364974946, y: 153.585887639
p: 359.478388592, r: 0.132833852484, y: 153.579658507
p: 359.483194804, r: 0.209919420817, y: 153.557719939
p: 359.474909624, r: 0.211474769617, y: 153.556722732
p: 359.469417298, r: 0.135195070224, y: 153.577650431
p: 359.455222885, r: 0.132645968921, y: 153.571721827
p: 359.44665057, r: 0.128249928437, y: 153.568812166
p: 359.439463504, r: 0.122524482344, y: 153.563949072
p: 359.431821803, r: 0.124081832176, y: 153.547898127
p: 359.420736085, r: 0.116965161927, y: 153.534060164
p: 359.418120443, r: 0.120033637752, y: 153.537693825
p: 359.418106676, r: 0.0499485730907, y: 153.563675864
p: 359.425692828, r: 0.0629770522108, y: 153.568033525
p: 359.430983077, r: 359.994054481, y: 153.60650115
p: 359.428026512, r: 359.931846518, y: 153.612170207
p: 359.417810737, r: 359.944483389, y: 153.605818131
p: 359.402785601, r: 359.942155015, y: 153.587827413
p: 359.393451507, r: 0.0268756604659, y: 153.559768996
p: 359.388949666, r: 0.0376615997174, y: 153.560233449
p: 359.383021969, r: 0.0417151869228, y: 153.569727412
p: 359.382530035, r: 0.0440714054183, y: 153.580532771
p: 359.376455382, r: 0.0494952226196, y: 153.590368243
p: 359.372126643, r: 0.0595108445988, y: 153.608099415
p: 359.360602406, r: 0.0654278228026, y: 153.60540832
p: 359.364741341, r: 0.060292601104, y: 153.601624395
p: 359.358260825, r: 0.0614596429774, y: 153.58483579
p: 359.346863161, r: 0.0637493438347, y: 153.577718733
p: 359.344652047, r: 0.0642403437226, y: 153.565082883
p: 359.348455769, r: 0.0679814330981, y: 153.565096543
p: 359.352458686, r: 0.142853646615, y: 153.550698505
p: 359.348977104, r: 0.139653756349, y: 153.548540165
p: 359.344556851, r: 0.133540016671, y: 153.54364975
p: 359.334551691, r: 0.129786307453, y: 153.544073221
p: 359.328770843, r: 0.127169891434, y: 153.564181298
p: 359.320432623, r: 0.121691879617, y: 153.586065224
p: 359.309184689, r: 0.118728364589, y: 153.615448698
p: 359.302047034, r: 0.049038900616, y: 153.661443192
p: 359.297825017, r: 359.984815029, y: 153.717191196
p: 359.282572511, r: 0.208667415126, y: 153.746533689
p: 359.272735651, r: 0.212139592483, y: 153.785342823
p: 359.26769241, r: 0.121828750204, y: 153.857333017
p: 359.262131356, r: 359.993617593, y: 153.840913243
p: 359.262888279, r: 359.986063527, y: 153.879749698
p: 359.25391928, r: 0.0102724219175, y: 153.929131966
p: 359.253470409, r: 0.0436146365175, y: 153.990398763
p: 359.240116482, r: 0.0777546000371, y: 153.992789329
p: 359.265473933, r: 0.0906431269802, y: 153.965154384
p: 359.260739705, r: 0.0366639885572, y: 154.052075371
p: 359.263046601, r: 0.256273846981, y: 154.058686994
p: 359.257251506, r: 0.419585244181, y: 154.134119603
p: 359.255910814, r: 0.43617230522, y: 154.08852126
p: 359.249500095, r: 0.413413047688, y: 154.160320209
p: 359.244583106, r: 0.406146660226, y: 154.166986474
p: 359.245687302, r: 0.41999433516, y: 154.150457416
p: 359.240538673, r: 0.329937410499, y: 154.246080064
p: 359.232933631, r: 0.372592849001, y: 154.32535124
p: 359.223338709, r: 0.331227862685, y: 154.428596379
p: 359.212352884, r: 0.338219094909, y: 154.499848913
p: 359.184921723, r: 0.352645841819, y: 154.583354805
p: 359.191120814, r: 0.151593127122, y: 154.682296926
p: 359.217272167, r: 0.0269903979723, y: 154.765474969
p: 359.22014106, r: 0.0399532415758, y: 154.843612333
p: 359.204691599, r: 0.0250298652087, y: 154.903116942
p: 359.185917864, r: 0.0521151537852, y: 154.841986748
p: 359.184220989, r: 0.192160221944, y: 154.901067885
p: 359.135448102, r: 0.484261906258, y: 154.942199284
p: 359.152220592, r: 0.395333883801, y: 156.083674158
p: 359.169813985, r: 0.057991474354, y: 156.273321191
p: 356.372462626, r: 1.28397866065, y: 158.910539192
p: 349.535987975, r: 0.0467082219587, y: 161.255589021
p: 327.574284802, r: 3.8288618954, y: 153.466263706
p: 310.269372163, r: 11.9203970405, y: 142.375429853
p: 296.553717102, r: 25.7294711601, y: 126.286646055
p: 284.606486809, r: 37.4604388803, y: 107.669544793
p: 275.922386223, r: 44.1505169648, y: 90.3817554376
p: 275.386557883, r: 54.2259441604, y: 71.4336085667
p: 277.914281121, r: 64.4083696845, y: 55.5143500643
p: 282.327040947, r: 67.7917585314, y: 47.6570097262
p: 290.493208289, r: 70.7990361814, y: 41.4421659589
p: 287.319608702, r: 80.5642805812, y: 30.5799385369
p: 280.230432419, r: 76.8078609528, y: 33.4033611548
p: 276.592789781, r: 81.0453991063, y: 27.0021727515
p: 271.654460558, r: 69.2841343745, y: 37.9542376516
p: 271.066060251, r: 353.114131128, y: 111.73894418
p: 273.676900062, r: 350.721806998, y: 110.732051353
p: 275.644588769, r: 355.366032544, y: 106.112459738
p: 276.633593331, r: 23.4762703, y: 78.0153905867
p: 276.432061769, r: 9.18284185321, y: 89.4741530705
p: 277.036451548, r: 1.80081075086, y: 95.2475548815
p: 277.896454327, r: 4.7048904324, y: 91.3159955424
p: 278.332438962, r: 350.231396855, y: 104.168765485
p: 278.072925925, r: 345.806224867, y: 107.443445041
p: 277.833657568, r: 346.820618949, y: 104.428278522
p: 276.887177764, r: 354.93729474, y: 93.8441490826
p: 283.681925082, r: 56.4321943001, y: 28.0269231081
p: 302.447173148, r: 77.4463606968, y: 1.51475527806
p: 322.407342318, r: 75.2205523105, y: 355.022395909
p: 336.412633258, r: 76.2466038181, y: 349.575507449
p: 351.976206244, r: 78.5763540233, y: 355.239063597
p: 3.04949376864, r: 77.9251774482, y: 354.243899912
p: 0.412991817116, r: 78.7566505268, y: 349.47280531
p: 357.558333303, r: 78.9864249207, y: 344.047425542
p: 356.802309483, r: 79.5185717891, y: 338.698371432
p: 359.342665262, r: 81.7450973453, y: 335.341389804
p: 6.2231082962, r: 82.5369553267, y: 330.528802656
p: 19.6041097011, r: 80.8161438069, y: 323.604828158
p: 36.1571295036, r: 79.3245397752, y: 315.802921636
p: 58.9673931804, r: 68.5603050772, y: 298.773610544
p: 68.2274289778, r: 43.2410738617, y: 264.538270877
p: 71.6290544298, r: 8.17710930453, y: 221.720088177
p: 72.1959737912, r: 4.90321137825, y: 214.266835491
p: 74.447613953, r: 13.2329280263, y: 219.577034363
p: 74.0768439641, r: 19.6037698991, y: 224.231302848
p: 56.7165077545, r: 12.3190760361, y: 213.776769418
p: 40.3064386886, r: 10.2445930521, y: 208.305897176
